created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2026-02-05T10:40:34+00:00,1,12.14,1.99,77.98,100.00,24.34,1.17,0.00,0.00,,,,
2026-02-05T10:40:53+00:00,2,12.15,1.19,78.54,100.00,24.37,1.02,0.00,0.00,,,,
2026-02-05T10:41:14+00:00,3,10.15,1.86,0.00,100.00,20.27,1.76,23.76,1.98,,,,
2026-02-05T10:41:30+00:00,4,12.09,1.02,75.80,100.00,24.16,1.17,0.00,0.00,,,,
2026-02-05T10:41:50+00:00,5,12.13,1.27,77.40,100.00,24.21,1.32,0.00,0.00,,,,
2026-02-05T10:42:10+00:00,6,12.14,1.87,78.08,100.00,24.32,1.95,0.00,0.00,,,,
2026-02-05T10:42:26+00:00,7,10.08,1.31,0.00,100.00,20.17,1.91,23.76,1.98,,,,
2026-02-05T10:42:43+00:00,8,12.07,1.57,74.88,100.00,24.16,1.90,0.00,0.00,,,,
2026-02-05T10:43:03+00:00,9,12.08,1.04,75.36,100.00,24.21,1.50,0.00,0.00,,,,
2026-02-05T10:43:23+00:00,10,12.08,1.09,75.38,100.00,24.18,1.23,0.00,0.00,,,,
2026-02-05T10:43:43+00:00,11,12.00,1.78,71.24,100.00,24.04,1.28,0.00,0.00,,,,
2026-02-05T10:44:03+00:00,12,12.10,1.41,75.97,100.00,24.19,1.48,0.00,0.00,,,,
2026-02-05T10:44:41+00:00,13,11.34,1.71,40.10,100.00,11.39,1.80,17.28,1.44,,,,
2026-02-05T10:44:56+00:00,14,12.08,1.66,75.17,100.00,12.12,1.69,0.00,0.00,,,,
2026-02-05T10:45:16+00:00,15,12.10,1.72,76.10,100.00,12.11,1.10,0.00,0.00,,,,
2026-02-05T10:45:36+00:00,16,12.11,1.19,76.50,100.00,12.12,1.46,0.00,0.00,,,,
2026-02-05T10:45:56+00:00,17,12.08,1.47,75.28,100.00,12.11,1.84,0.00,0.00,,,,
2026-02-05T10:46:16+00:00,18,12.10,1.19,76.24,100.00,12.12,1.92,0.00,0.00,,,,
2026-02-05T10:46:36+00:00,19,12.12,1.67,77.24,100.00,12.12,1.80,0.00,0.00,,,,
2026-02-05T10:46:52+00:00,20,12.09,1.20,75.81,100.00,12.11,1.25,0.00,0.00,,,,
2026-02-05T10:47:11+00:00,21,12.10,1.12,76.07,100.00,12.12,1.44,0.00,0.00,,,,
2026-02-05T10:47:31+00:00,22,12.13,1.28,77.56,100.00,12.11,1.23,0.00,0.00,,,,
2026-02-05T10:47:51+00:00,23,12.10,1.79,76.36,100.00,12.13,1.51,0.00,0.00,,,,
2026-02-05T10:48:11+00:00,24,12.10,1.75,76.17,100.00,12.11,1.73,0.00,0.00,,,,
2026-02-05T10:48:58+00:00,25,12.10,1.73,76.07,100.00,12.11,1.24,0.00,0.00,,,,
2026-02-05T10:49:16+00:00,26,5.81,1.38,0.00,100.00,5.78,1.65,0.00,0.00,,,,
2026-02-05T10:49:36+00:00,27,0.18,0.00,0.00,99.98,0.19,0.00,0.00,0.00,,,,
2026-02-05T10:49:52+00:00,28,0.19,0.00,0.00,99.96,0.17,0.00,0.00,0.00,,,,
2026-02-05T10:50:08+00:00,29,0.15,0.00,0.00,99.95,0.14,0.00,0.00,0.00,,,,
2026-02-05T10:50:24+00:00,30,0.14,0.00,0.00,99.93,0.13,0.00,0.00,0.00,,,,
2026-02-05T10:50:46+00:00,31,0.13,0.00,0.00,99.91,0.14,0.00,0.00,0.00,,,,
2026-02-05T10:51:01+00:00,32,0.12,0.00,0.00,99.89,0.12,0.00,0.00,0.00,,,,
2026-02-05T10:51:18+00:00,33,0.12,0.00,0.00,99.88,0.14,0.00,0.00,0.00,,,,
2026-02-05T10:51:36+00:00,34,0.13,0.00,0.00,99.86,0.12,0.00,0.00,0.00,,,,
2026-02-05T10:51:54+00:00,35,0.11,0.00,0.00,99.84,0.13,0.00,0.00,0.00,,,,
2026-02-05T10:52:09+00:00,36,0.14,0.00,0.00,99.83,0.14,0.00,0.00,0.00,,,,
2026-02-05T10:52:41+00:00,37,0.12,0.00,0.00,99.81,0.13,0.00,0.00,0.00,,,,
2026-02-05T10:52:59+00:00,38,0.11,0.00,0.00,99.79,0.11,0.00,0.00,0.00,,,,
2026-02-05T10:53:15+00:00,39,0.13,0.00,0.00,99.77,0.13,0.00,0.00,0.00,,,,
2026-02-05T10:53:30+00:00,40,0.11,0.00,0.00,99.76,0.12,0.00,0.00,0.00,,,,
2026-02-05T10:53:46+00:00,41,0.13,0.00,0.00,99.74,0.14,0.00,0.00,0.00,,,,
2026-02-05T10:54:06+00:00,42,0.13,0.00,0.00,99.72,0.13,0.00,0.00,0.00,,,,
2026-02-05T10:54:26+00:00,43,0.14,0.00,0.00,99.70,0.13,0.00,0.00,0.00,,,,
2026-02-05T10:54:46+00:00,44,0.15,0.00,0.00,99.68,0.14,0.00,0.00,0.00,,,,
2026-02-05T10:55:06+00:00,45,0.13,0.00,0.00,99.66,0.13,0.00,0.00,0.00,,,,
2026-02-05T10:55:21+00:00,46,0.13,0.00,0.00,99.64,0.14,0.00,0.00,0.00,,,,
2026-02-05T10:55:43+00:00,47,0.12,0.00,0.00,99.62,0.12,0.00,0.00,0.00,,,,
2026-02-05T10:56:04+00:00,48,0.12,0.00,0.00,99.61,0.12,0.00,0.00,0.00,,,,
2026-02-05T10:56:21+00:00,49,0.11,0.00,0.00,99.59,0.12,0.00,0.00,0.00,,,,
2026-02-05T10:56:49+00:00,50,0.10,0.00,0.00,99.56,0.11,0.00,0.00,0.00,,,,
2026-02-05T10:57:06+00:00,51,0.15,0.00,0.00,99.54,0.15,0.00,0.00,0.00,,,,
2026-02-05T10:57:26+00:00,52,0.13,0.00,0.00,99.52,0.13,0.00,0.00,0.00,,,,
2026-02-05T10:57:42+00:00,53,0.13,0.00,0.00,99.51,0.13,0.00,0.00,0.00,,,,
2026-02-05T10:58:02+00:00,54,0.14,0.00,0.00,99.49,0.13,0.00,0.00,0.00,,,,
2026-02-05T10:58:37+00:00,55,0.13,0.00,0.00,99.47,0.14,0.00,0.00,0.00,,,,
2026-02-05T10:58:58+00:00,56,0.11,0.00,0.00,99.44,0.12,0.00,0.00,0.00,,,,
2026-02-05T10:59:28+00:00,57,0.14,0.00,0.00,99.43,0.16,0.00,0.00,0.00,,,,
2026-02-05T11:00:04+00:00,58,0.14,0.00,0.00,99.39,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:01:04+00:00,59,0.14,0.00,0.00,99.35,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:01:24+00:00,60,0.13,0.00,0.00,99.33,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:01:42+00:00,61,0.12,0.00,0.00,99.31,0.12,0.00,0.00,0.00,,,,
2026-02-05T11:01:57+00:00,62,0.14,0.00,0.00,99.29,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:02:16+00:00,63,0.13,0.00,0.00,99.28,0.11,0.00,0.00,0.00,,,,
2026-02-05T11:03:06+00:00,64,0.11,0.00,0.00,99.24,0.11,0.00,0.00,0.00,,,,
2026-02-05T11:03:24+00:00,65,0.13,0.00,0.00,99.22,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:03:41+00:00,66,0.12,0.00,0.00,99.20,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:03:59+00:00,67,0.12,0.00,0.00,99.18,0.12,0.00,0.00,0.00,,,,
2026-02-05T11:04:16+00:00,68,0.13,0.00,0.00,99.16,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:04:36+00:00,69,0.14,0.00,0.00,99.14,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:05:01+00:00,70,0.13,0.00,0.00,99.12,0.12,0.00,0.00,0.00,,,,
2026-02-05T11:05:18+00:00,71,0.11,0.00,0.00,99.10,0.11,0.00,0.00,0.00,,,,
2026-02-05T11:05:36+00:00,72,0.14,0.00,0.00,99.08,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:06:02+00:00,73,0.14,0.00,0.00,99.06,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:06:23+00:00,74,0.12,0.00,0.00,99.04,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:06:44+00:00,75,0.13,0.00,0.00,99.02,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:07:02+00:00,76,0.14,0.00,0.00,99.00,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:07:21+00:00,77,0.13,0.00,0.00,98.98,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:07:39+00:00,78,0.14,0.00,0.00,98.97,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:07:56+00:00,79,0.14,0.00,0.00,98.95,0.15,0.00,0.00,0.00,,,,
2026-02-05T11:08:11+00:00,80,0.13,0.00,0.00,98.93,0.15,0.00,0.00,0.00,,,,
2026-02-05T11:08:27+00:00,81,0.12,0.00,0.00,98.92,0.12,0.00,0.00,0.00,,,,
2026-02-05T11:08:47+00:00,82,0.14,0.00,0.00,98.90,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:09:03+00:00,83,0.13,0.00,0.00,98.88,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:09:21+00:00,84,0.13,0.00,0.00,98.86,0.15,0.00,0.00,0.00,,,,
2026-02-05T11:09:36+00:00,85,0.14,0.00,0.00,98.85,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:09:56+00:00,86,0.13,0.00,0.00,98.83,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:10:14+00:00,87,0.14,0.00,0.00,98.81,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:10:31+00:00,88,0.11,0.00,0.00,98.79,0.12,0.00,0.00,0.00,,,,
2026-02-05T11:10:47+00:00,89,0.13,0.00,0.00,98.78,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:11:04+00:00,90,0.12,0.00,0.00,98.76,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:11:28+00:00,91,0.14,0.00,0.00,98.74,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:11:49+00:00,92,0.11,0.00,0.00,98.72,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:12:06+00:00,93,0.13,0.00,0.00,98.70,0.12,0.00,0.00,0.00,,,,
2026-02-05T11:12:22+00:00,94,0.14,0.00,0.00,98.68,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:12:44+00:00,95,0.15,0.00,0.00,98.66,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:13:03+00:00,96,0.12,0.00,0.00,98.65,0.17,0.00,0.00,0.00,,,,
2026-02-05T11:13:21+00:00,97,0.13,0.00,0.00,98.62,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:13:41+00:00,98,0.14,0.00,0.00,98.60,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:14:01+00:00,99,0.12,0.00,0.00,98.58,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:14:17+00:00,100,0.10,0.00,0.00,98.57,0.12,0.00,0.00,0.00,,,,
2026-02-05T11:14:34+00:00,101,0.13,0.00,0.00,98.55,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:15:04+00:00,102,0.11,0.00,0.00,98.53,0.11,0.00,0.00,0.00,,,,
